"assists","faceoffWinPctg","gameWinningGoals","gamesPlayed","goals","otGoals","penaltyMinutes","playerBirthCountry","playerBirthYear","playerDraftRoundNo","playerHeight","Player","playerPositionCode","playerShootsCatches","playerWeight","plusMinus","points","pointsPerGame","ppGoals","ppPoints","shGoals","shPoints","shiftsPerGame","shootingPctg","shots","timeOnIcePerGame","playerDrafted","Forward","LeftHand","blockedShots","giveaways","takeaways","hits","Tm","Salary","Cap.Hit"
4,0.4333,0,43,2,0,75,"CAN",1986,NA,71,"Micheal Haley","C","L",205,-2,6,0.1395,0,0,0,0,12.4651,0.0588,34,485.4651,0,1,1,16,15,3,76,"SJS",0.85,825000
7,0.5,0,47,3,0,9,"USA",1990,NA,74,"Tim Schaller","C","L",204,-2,10,0.2127,0,0,0,0,16.1914,0.0681,44,639.7659,0,1,1,18,8,14,66,"VAN",1.9,1900000
20,0.4565,1,82,6,0,42,"EST",1987,6,71,"Leo Komarov","R","L",209,18,26,0.317,0,0,0,0,18.5,0.0769,78,833.4878,1,1,1,38,26,28,203,"NYI",4,3e+06
13,0,0,71,0,0,6,"CAN",1998,4,69,"Victor Mete","D","L",183,17,13,0.183,0,0,0,0,23.2394,0,65,1066.3802,1,0,1,95,57,10,21,"MTL",0.7425,748333
12,0.4642,0,82,7,0,55,"USA",1991,4,75,"Marcus Foligno","L","L",228,-1,19,0.2317,0,1,0,1,16.2926,0.0769,91,718.2073,1,1,1,43,13,31,206,"MIN",3,2875000
10,0.5,0,57,0,0,0,"RUS",1995,1,76,"Valeri Nichushkin","R","L",210,-4,10,0.1754,0,0,0,0,18.0175,0,65,715.0175,1,1,1,32,30,24,71,"DAL",2.7,2950000
5,0.35,1,63,12,0,108,"USA",1996,2,73,"Brendan Lemieux","L","L",215,6,17,0.2698,0,0,0,0,12.619,0.1791,67,542.8571,1,1,1,31,14,13,129,"NYR",0.8325,839167
6,0.35,1,55,2,0,10,"CAN",1990,5,70,"Gabriel Bourque","L","L",206,3,8,0.1454,0,0,0,1,13.7636,0.0588,34,584.2545,1,1,1,48,8,11,100,"COL",0.95,950000
9,0.4444,1,43,8,0,26,"USA",1994,NA,72,"Zach Aston-Reese","C","L",204,12,17,0.3953,0,0,1,1,20.3953,0.1052,76,819.3953,0,1,1,37,11,17,138,"PIT",0.925,925000
8,0.5708,0,61,6,0,36,"USA",1986,2,74,"Brandon Dubinsky","C","L",205,-16,14,0.2295,0,0,0,1,19.3114,0.0952,63,741.3278,1,1,1,28,7,16,147,"CBJ",5.85,5850000
2,0,0,61,2,0,17,"SWE",1991,NA,72,"Oscar Fantenberg","D","L",206,3,4,0.0655,0,0,0,0,21.2295,0.0285,70,960,0,0,1,74,38,12,91,"CGY",0.65,650000
23,0.4896,1,81,13,1,37,"DNK",1989,1,74,"Lars Eller","C","L",207,-1,36,0.4444,0,3,1,3,19.4567,0.0797,163,992.0617,1,1,1,47,63,59,69,"WSH",5,3500000
